Payment_Gateway_ID,total_revenue,total_cash
PAY0137,1508.4303743291184,2261.64772
PAY0138,4396.79107997765,232061.43349
PAY0139,,1256.04
PAY0140,,1906.9499999999998
PAY0141,,1226.62532
PAY0142,,1789.03
PAY0143,,84881.40575
PAY0144,2699.571453104808,21196.07
PAY0145,,4790.610000000001
PAY0146,,81759.53
PAY0147,1043.096147693071,1.33807
PAY0148,2248.1195668533255,
PAY0149,,692.5156999999999
PAY0150,,10135.38456
PAY0151,877.6829347951071,3594.01
PAY0152,,97997.13
PAY0153,,5511.48249
PAY0154,928.75739936903,250.0754
PAY0155,,1.16414
PAY0156,,41396.892739999996
PAY0157,4907.691220720012,82285.0
PAY0158,,1636.98
PAY0159,,131991.79173
PAY0160,,993.52
PAY0161,,117893.07
PAY0162,,98259.48377
PAY0163,,72182.90836999999
PAY0164,1551.8320509181017,153441.05856
PAY0165,3582.328738389993,33164.61
PAY0166,4019.5487454378062,121269.75
PAY0167,,27462.6934
PAY0168,,12960.19
PAY0169,,61963.0
PAY0170,,3075.79648
PAY0171,,35639.534869999996
PAY0172,2630.1000278199704,69336.09108
PAY0173,,3212.99882
PAY0174,,1515.1170200000001
PAY0175,3411.9801018686157,88746.64941
PAY0176,1400.3464345962857,
PAY0177,,211138.2897
PAY0178,3078.7659130518023,97661.98
PAY0179,1711.218822697838,3.7659700000000003
PAY0180,,41887.42
PAY0181,4359.412126174662,600.31128
PAY0182,3664.992405645613,3.26995
PAY0183,,1425.2216
PAY0184,,93816.6
PAY0185,,13952.78124
PAY0186,,61484.74777
PAY0187,,81799.56683
PAY0188,,12687.95783
PAY0189,,49611.89
PAY0190,,1.55107
PAY0191,,225604.07984
PAY0192,2466.5783890507073,70885.5
PAY0193,,495.98078000000004
PAY0194,1820.2731889000347,30085.62
PAY0195,4202.184765823227,752.5799999999999
PAY0196,,1166.42
PAY0197,,90017.59189000001
PAY0198,2706.6136106894523,86094.83302
PAY0199,789.9238828768854,110198.69446
PAY0200,,2401.2200000000003
PAY0201,2135.0043741049235,1.30785
PAY0202,,2.29255
PAY0203,,1164.06
PAY0204,,31118.13
PAY0205,4160.42621780019,1747.06491
PAY0206,,3493.2593899999997
PAY0207,3205.5452135397804,184421.8185
PAY0208,,4325.84738
PAY0209,,3035.4411499999997
PAY0210,,41658.503169999996
PAY0211,,90202.02468
PAY0212,4277.694747298881,169050.85
PAY0213,,16312.01
PAY0214,4128.589381632575,1839.96073
PAY0215,,1011.2893
PAY0216,3458.4377146194656,63243.22193
PAY0217,,1942.36722
PAY0218,,97281.36645999999
PAY0219,4599.435967410899,1633.41004
PAY0220,,67149.64273
PAY0221,,161329.28
PAY0222,4401.288208095122,95080.0
PAY0223,,31536.29
PAY0224,,73422.1535
PAY0225,4594.050949986024,75525.89
PAY0226,3670.3610815803304,2477.23193
PAY0227,2569.0970369835723,1102.7574299999999
PAY0228,,54159.40599
PAY0230,,3473.98
PAY0231,1149.557816058669,1.74643
PAY0232,4206.246026092231,382.73251000000005
PAY0233,562.4416310981615,163877.49972
PAY0234,,54000.76
PAY0235,,1493.89012
PAY0236,,18476.73
PAY0237,,1657.43885
PAY0238,772.8439005651622,74950.66
PAY0239,,54998.75425
PAY0240,3796.483523526916,115113.87565
PAY0241,3572.3230139058833,143.00748
PAY0243,,107630.43000000001
PAY0244,,89463.0
PAY0245,,1993.17
PAY0246,3209.4505976180885,2297.0
PAY0247,,54368.83639
PAY0248,,188881.46867
PAY0249,,31087.19
PAY0250,3537.93843058342,40303.95
PAY0251,,71139.50525
PAY0252,1257.3275072478866,1369.3592299999998
PAY0253,3467.9269541751437,2433.6955000000003
PAY0254,3120.6607063598826,1184.63938
PAY0255,2582.1163927552316,1.57436
PAY0256,,62198.32385
PAY0257,,3181.72683
PAY0258,,35308.24
PAY0259,,55119.44064
PAY0260,,50920.13949
PAY0261,,1711.52
PAY0262,,91462.31551
PAY0263,1997.881432546606,52197.26016
PAY0264,,1.18636
PAY0265,,45875.50532
PAY0266,1318.5016421282571,
PAY0267,,63180.83625
PAY0268,,2869.23
PAY0269,,55.99
PAY0270,3714.57940488678,1897.0135799999998
PAY0271,1795.8288778289675,44053.86
PAY0272,4509.025350094732,81431.38889
PAY0273,,25443.28
PAY0274,4084.6941465861864,51084.12
PAY0275,,21327.6
PAY0276,,278.83382
PAY0277,1559.572047281288,60309.94977
PAY0278,,3609.92
PAY0279,4864.655641730599,108296.91628
PAY0280,864.7845653522704,46285.0
PAY0281,,1344.20763
PAY0282,,5367.9784199999995
PAY0283,,14847.00984
PAY0284,,2516.92
PAY0285,4591.53883940509,1782.1904200000001
PAY0286,903.3285356612736,36136.82995
PAY0287,,1037.296
PAY0288,2178.404906160414,138907.07184
PAY0289,4779.0318581384345,1.91597
PAY0290,906.1264746893254,
PAY0291,,90272.51
PAY0292,,33551.59927
PAY0293,3886.5135483067183,114236.50854
PAY0294,,5093.86444
PAY0295,2762.458351638594,93226.93877
PAY0296,1050.475574761017,27548.40168
PAY0297,1586.0290061312198,52643.65
PAY0298,,1701.64
PAY0299,4978.433524879813,74747.14169
PAY0300,1082.233345926874,246.28801
PAY0301,,148165.25453
PAY0302,4368.128013121148,31569.0
PAY0303,,4234.874580000001
PAY0304,,1942.84
PAY0305,3024.699597829718,163443.65
PAY0306,3207.1988309987355,144029.22701
PAY0307,,30831.62342
PAY0308,,140.14
PAY0309,3528.982821377,
PAY0310,,90.6
PAY0311,2135.4541035184584,85917.54374
PAY0312,1861.9549639102677,50383.68
PAY0313,,81368.25923
PAY0314,1062.9027046860213,173672.91
PAY0315,,121826.15000000001
PAY0316,,1749.7118600000001
PAY0317,3335.703536833244,41374.32296
PAY0318,,12014.38
PAY0319,4863.967312107321,76472.27
PAY0320,3133.216249071649,1.76356
PAY0321,,3204.42
PAY0322,,92270.76029
PAY0323,1470.1165506530335,21584.085629999998
PAY0324,,2610.36
PAY0325,,69853.21
PAY0326,,4006.0499999999997
PAY0327,,167171.18
PAY0328,4517.023144233429,71936.07
PAY0329,1649.9016050547114,90731.04
PAY0330,,151949.47
PAY0331,,4380.16179
PAY0332,3769.291608798179,8017.53916
PAY0333,,2882.45673
PAY0334,,38246.2435
PAY0336,,462.27
PAY0337,,1714.86
PAY0338,,98017.82
PAY0339,2333.7220538477286,78581.08309
PAY0340,,93683.42798000001
PAY0341,,1579.72199
PAY0342,,91138.08103
PAY0343,4235.964712501467,11370.35072
PAY0344,2407.0159244302176,1.28998
PAY0345,,2348.96
PAY0346,,53340.43
PAY0347,1357.4487437101857,1446.19237
PAY0348,,81311.67000000001
PAY0349,,4256.54
PAY0350,,930.72
PAY0351,3209.5217390473344,82530.18056000001
PAY0352,3344.9312333568455,66541.91
PAY0353,,51379.44
PAY0354,,1.3705
PAY0355,734.4447030587311,52923.63728
PAY0356,,5513.65
PAY0357,2796.4778972111703,8663.52
PAY0359,,64278.68
PAY0360,,239705.94728999998
PAY0361,,92774.46242
PAY0362,,100404.09543999999
PAY0363,,87545.14066
PAY0364,,88168.57
PAY0365,,103963.96139
PAY0366,,613.73594
PAY0367,,458.34595
PAY0368,,127.82
PAY0369,,1895.62725
PAY0370,,175.12033000000002
PAY0371,3333.0181160011457,89228.50018
PAY0372,2083.3535596275133,3543.02136
PAY0373,,357.93
PAY0374,,2269.1099999999997
PAY0375,604.6846175924278,2.4159300000000004
PAY0376,,1603.19
PAY0377,,2544.3390400000003
PAY0378,3842.138759133432,122563.0
PAY0379,,2600.3
PAY0380,,31474.7
PAY0381,,104110.23086
PAY0382,4766.491477216522,98076.0
PAY0383,,9646.74196
PAY0384,4923.598762209505,6534.768389999999
PAY0385,1423.101071224428,5122.43552
PAY0386,,1316.51
PAY0387,,508.78999999999996
PAY0388,,55941.0
PAY0389,,108501.07
PAY0390,,59077.61802
PAY0391,,85666.59817
PAY0392,1660.1996345183454,123532.15
PAY0393,,95087.98976
PAY0394,,3451.02
PAY0395,,3856.91506
PAY0396,4590.815693753833,93210.36428
PAY0397,,106814.21220000001
PAY0398,,187051.68392
PAY0399,,1992.2964
PAY0400,3516.1693992075734,132520.51
PAY0401,1606.6772824544205,45187.61
PAY0402,,1636.58349
PAY0403,,144340.27000000002
PAY0404,4985.327465300896,7915.0
PAY0405,,3.1084300000000002
PAY0406,,245259.69
PAY0407,2789.31993768791,1887.39793
PAY0409,1644.3766421306857,102938.32429
PAY0410,,410.44641
PAY0411,,169549.03825
PAY0412,3816.8524101672742,51525.30168
PAY0413,1759.0133514325196,2424.80062
PAY0414,,82381.96
PAY0415,2232.7190583356223,3780.81
PAY0416,1933.939310691034,58267.67496
PAY0417,,77093.29478
PAY0418,,2080.73
PAY0419,,272688.14
PAY0420,,53199.68494
PAY0421,4400.956851737512,5985.04392
PAY0422,,77765.54694
PAY0423,,64635.0
PAY0424,,2.7762000000000002
PAY0425,2949.913809520144,78235.85846
PAY0427,,150008.6322
PAY0428,,478.93476
PAY0429,,774.71889
PAY0430,,211116.97999999998
PAY0431,,96388.44
PAY0432,,2484.8787
PAY0433,,1634.1666
PAY0434,,2772.31869
PAY0435,1654.009856960528,97493.16659
PAY0436,940.9452427885652,26627.49
PAY0437,2331.8440861594822,82373.42268
PAY0438,,4487.77499
PAY0439,,97957.0
PAY0441,,98986.06465
PAY0442,4744.229639166199,3149.84663
PAY0444,1049.241959356502,616.65
PAY0445,,2711.62083
PAY0446,,409.74592
PAY0447,1112.4150046247323,11740.66
PAY0448,2547.4916689700945,85974.62
PAY0449,1801.622546753025,457.71
PAY0450,4031.5516827095785,1319.3
PAY0451,4225.76909786148,429.47
PAY0452,,1.11956
PAY0453,,100987.31035
PAY0454,,167609.04
PAY0455,4748.313024756462,4380.65
PAY0456,,1515.63
PAY0457,2037.3341213748415,47944.11285
PAY0458,,1690.86
PAY0459,,56851.89
PAY0460,,9382.17135
PAY0461,,83315.71674
PAY0462,,78148.48
PAY0463,2507.850728165038,978.6389800000001
PAY0464,,136.69920000000002
PAY0465,4563.066283999673,5110.78359
PAY0466,1869.4536033792767,1576.5262599999999
PAY0467,,3514.0170900000003
PAY0468,,187425.16
PAY0469,,95430.27341
PAY0470,,124477.88
PAY0471,4107.959053886703,63878.68
PAY0472,,92036.59
PAY0473,,1997.34
PAY0474,2591.705899603999,98036.16
PAY0475,,48227.25
PAY0476,4446.2137347793105,14987.89484
PAY0477,4443.75505818382,103324.58749
PAY0478,3935.489967197412,12776.84233
PAY0479,,94492.74
PAY0480,,7321.77642
PAY0481,,92148.0
PAY0482,,75658.05
PAY0483,,2604.24418
PAY0484,,51497.73
PAY0485,,1.87449
PAY0486,,50734.95191
PAY0487,,1.64735
PAY0488,502.4431926815776,13714.9749
PAY0489,,1220.7822999999999
PAY0490,,1327.95
PAY0491,,55448.21413
PAY0492,,1674.22
PAY0493,,510.92
PAY0494,,83216.0
PAY0495,,13111.57713
PAY0496,4313.0034236869415,4107.36
PAY0497,,118545.93000000001
PAY0498,,810.59
PAY0500,2991.246927015175,692.5425700000001
PAY0501,,161151.76121
PAY0502,,64978.0
PAY0503,,2039.1
PAY0504,,70723.71066
PAY0505,,123437.12933
PAY0506,,17279.82
PAY0507,,5052.2699999999995
PAY0508,,8253.95234
PAY0509,2365.2339104875773,771.64
PAY0510,4479.536436995548,3783.15994
PAY0511,2186.172430576978,3097.65396
PAY0512,,74300.07219
PAY0513,,545.3276599999999
PAY0514,1808.4853937221872,210417.89335
PAY0515,,143538.4
PAY0516,1168.7294239464256,19901.54034
PAY0517,,7229.79
PAY0518,,116406.93
PAY0519,,1626.55
PAY0520,,39158.39836
PAY0521,,32991.49
PAY0522,3701.233336751688,2731.54363
PAY0523,4556.50247293043,155936.5
PAY0524,,50325.87412
PAY0525,,635.33314
PAY0526,1808.1636101527977,99165.64
PAY0527,625.5105138304606,80635.0
PAY0528,,18122.0
PAY0529,4835.636095239051,82322.45367
PAY0530,,32276.0
PAY0531,4819.115157245657,51793.64846
PAY0532,509.2138107086745,3.19996
PAY0533,,1.19294
PAY0534,3190.4048817530293,17763.64
PAY0535,2331.530832018551,2330.7
PAY0536,,4084.94
PAY0538,,23701.90879
PAY0539,4726.948730785861,119617.95
PAY0540,,83130.0
PAY0541,,67289.0
PAY0542,,1646.17
PAY0543,,21164.11
PAY0544,2437.7920814816785,50074.79
PAY0545,,721.67987
PAY0546,3321.452895430826,177774.41576
PAY0547,4406.778993297547,182583.36371
PAY0548,,93703.24308
PAY0549,2355.9727087706806,598.3457000000001
PAY0550,2110.194585187752,357.53
PAY0551,4016.072069837714,50028.01
PAY0552,996.9885780955684,136848.19999999998
PAY0553,,801.56801
PAY0554,,96319.12337
PAY0555,2543.2498181432875,1.46895
PAY0556,,1240.52
PAY0557,,1033.34357
PAY0558,,682.38
PAY0559,3266.725430994064,41841.05
PAY0560,,3593.92904
PAY0561,,1823.9923999999999
PAY0562,3942.0675523820814,10621.18
PAY0563,,24907.23486
PAY0564,,2773.09707
PAY0565,,5125.24
PAY0566,4487.701532124003,177055.0
PAY0567,,77361.51652
PAY0568,921.1004519224288,88219.92928
PAY0569,2379.0881944097123,114321.33166
PAY0570,4378.715259286432,2873.10552
PAY0571,,99529.31783
PAY0572,3408.9948136371377,129044.47841000001
PAY0573,,2273.4399999999996
PAY0574,2678.7717948114796,9476.8286
PAY0575,3791.9534780025106,7712.78
PAY0577,,644.83323
PAY0578,,2.61835
PAY0579,1031.261709519611,122123.33
PAY0580,,67811.16043
PAY0581,,5201.39016
PAY0582,,26288.83
PAY0583,,47729.41223
PAY0584,,46388.56595
PAY0585,4097.879005730807,208167.50999
PAY0586,571.4836093198206,42069.1736
PAY0587,,1079.75969
PAY0588,,101062.25609
PAY0590,3197.8115027998206,90268.68283
PAY0591,3820.034842718076,23208.63789
PAY0592,1657.3000692547328,1761.27
PAY0593,2326.3967266170334,1811.16
PAY0594,1149.2505891670514,99745.72
PAY0595,3613.302771760269,1590.21
PAY0596,,114571.13
PAY0597,,1677.84
PAY0598,,252612.0
PAY0599,2310.354300817039,2221.90343
PAY0600,,3385.39601
PAY0601,,69118.78489000001
PAY0602,,135329.08315
PAY0603,,127063.79
PAY0604,,183040.46
PAY0605,4082.7145164622225,94184.14
PAY0606,,65477.0
PAY0607,,1.91707
PAY0608,688.8624674296063,
PAY0609,4646.2941034986825,7589.50214
PAY0610,,265.47
PAY0611,,199771.2182
PAY0612,,253681.43
PAY0613,,3.82536
PAY0614,,1121.01294
PAY0615,3317.2661800820533,92925.0
PAY0616,2106.6974367661423,36043.479999999996
PAY0617,,33684.38
PAY0618,3319.823108830918,1453.72268
PAY0619,4402.273008868975,63523.0
PAY0620,,3614.44142
PAY0621,950.2550744182452,136251.76
PAY0622,,1318.9491699999999
PAY0623,,75783.75147
PAY0624,3125.9632594214413,125514.2
PAY0625,,37778.1
PAY0626,,1149.8225300000001
PAY0627,4318.7731745143565,73257.83542
PAY0628,,2407.11406
PAY0629,,31885.0
PAY0630,3683.294820709648,52103.92
PAY0631,,4005.8199999999997
PAY0632,1686.9107322869977,4062.56832
PAY0633,,2715.84177
PAY0634,974.3498768784724,54403.95
PAY0635,,2.4010499999999997
PAY0636,,56573.1673
PAY0637,,546.65
PAY0638,,50058.79
PAY0639,,33032.61572
PAY0640,1919.9431375854576,1992.2
PAY0641,1895.4558824509695,3730.49
PAY0642,2360.3423843614028,117805.36
PAY0643,,100474.69
PAY0644,1085.8969907528804,218612.94629
PAY0645,,44371.216660000006
PAY0646,1056.4440531523474,107917.78471
PAY0647,1312.7038289907168,209628.55
PAY0648,,43436.51627
PAY0649,4642.027662402974,140003.09975
PAY0650,3452.7774065780777,1906.12
PAY0651,2638.5239679744086,53629.0537
PAY0652,,202.85
PAY0653,,2308.58
PAY0654,1765.1051771826635,
PAY0655,,37381.64
PAY0656,,1723.17782
PAY0657,,69856.06
PAY0658,2026.1884938762344,1167.81
PAY0659,,1678.95387
PAY0660,2776.5347752180655,2.95824
PAY0661,,75406.89102
PAY0662,3159.676740026204,1660.17
PAY0663,,86480.0
PAY0664,,6963.25
PAY0665,1858.311565748437,93393.89
PAY0666,4975.542796483162,83622.28885
PAY0668,,135961.0
PAY0669,,1777.09288
PAY0670,4202.792253371125,123408.53925
PAY0671,4244.237934451965,
PAY0672,,198108.23032
PAY0673,3547.348930330085,1706.64236
PAY0674,537.9411918031974,281845.74403
PAY0675,3708.917665802283,233112.24069
PAY0676,,215088.88601000002
PAY0677,,1894.03
PAY0678,,53609.78105
PAY0679,,67150.31568
PAY0680,,2087.8999999999996
PAY0681,,2567.9700000000003
PAY0682,,100298.99515999999
PAY0683,,1595.59267
PAY0684,,92071.24684
PAY0685,,21791.59
PAY0686,,166277.0
PAY0688,,152373.39
PAY0689,3682.4388177068417,2496.99
PAY0690,1365.9203000236855,73999.94995
PAY0691,,14520.0
PAY0692,,200333.31
PAY0693,1962.119607354572,1935.14
PAY0694,,77635.88445
PAY0695,,4783.630209999999
PAY0697,1641.4559727194828,17562.49129
PAY0698,,201310.22494
PAY0699,,88367.70379
PAY0700,,2643.2609899999998
PAY0701,,97915.7606
PAY0702,,127463.92875
PAY0703,,29707.0
PAY0704,,195758.08636000002
PAY0705,571.4357727250608,82641.0
PAY0706,,51440.36952
PAY0707,,95206.02394
PAY0708,,1530.0171400000002
PAY0709,,816.51994
PAY0710,,1492.17239
PAY0711,,90340.42
PAY0712,,66933.83720000001
PAY0713,4137.46955765496,4485.5776399999995
PAY0714,,1385.33105
PAY0715,1213.724592970435,29261.72
PAY0716,,112631.50146
PAY0717,,163967.07914
PAY0718,,144818.70744
PAY0719,1864.303396179268,814.71
PAY0720,906.3783160301124,574.31
PAY0721,1148.1541381926102,56598.36822
PAY0722,,97266.14
PAY0723,3017.0877045630227,19424.89361
PAY0724,,109105.66
PAY0726,,199528.0
PAY0727,1332.893258720579,86469.02
PAY0728,,4369.27688
PAY0729,3494.8413329757877,408.69
PAY0730,,5295.54038
PAY0731,,2894.76008
PAY0732,3258.1920678403326,92506.51759
PAY0733,,95040.61907
PAY0734,1773.1647868645712,1514.77
PAY0735,,10913.0
PAY0736,,74836.0
PAY0737,,22686.460000000003
PAY0738,,1043.97034
PAY0739,,6428.73894
PAY0740,,1844.1483699999999
PAY0741,,1906.45939
PAY0742,,57984.38193
PAY0743,,1487.55
PAY0744,,12330.18
PAY0745,,140072.12553999998
PAY0746,,92860.69842
PAY0747,,3235.9700000000003
PAY0748,,97986.81526
PAY0749,1839.413821047236,69376.65507000001
PAY0750,,266317.32
PAY0751,,100049.79169
PAY0752,,1510.7911199999999
PAY0753,3166.2662078746093,82318.32852
PAY0754,1488.6605526839508,632.1
PAY0755,,110934.53972
PAY0756,,2.84779
PAY0757,,2.52554
PAY0758,633.9331715673513,92961.34063
PAY0759,,3150.24
PAY0760,4941.296151084718,83441.21
PAY0761,,67720.48371
PAY0762,4582.434699736171,1083.38
PAY0763,,30920.1975
PAY0764,,24234.56
PAY0765,2644.380275303547,1.61373
PAY0766,3983.7100421468863,29841.51479
PAY0767,623.0790200001707,15758.0
PAY0768,,577.3413899999999
PAY0769,3861.631936727746,101180.57716
PAY0770,,1.41252
PAY0771,,772.74171
PAY0772,,70549.97679
PAY0773,,1948.04
PAY0774,,2089.31
PAY0775,2994.370363620062,3367.13551
PAY0776,3152.664249775293,54056.154740000005
PAY0777,,46478.03269
PAY0778,,94220.55799
PAY0779,,56353.63731
PAY0780,,139.78274
PAY0781,,95464.18984
PAY0782,2778.5053126413563,
PAY0783,,3945.78481
PAY0784,2027.9274117188336,123166.08874
PAY0785,,41135.99
PAY0786,2127.9846634479695,
PAY0787,,70449.92
PAY0788,4713.1153223548745,13686.79
PAY0789,,1.53352
PAY0790,,160.4
PAY0791,,617.47
PAY0792,,131172.06407999998
PAY0793,,81031.41
PAY0794,,3385.75096
PAY0795,,60387.47
PAY0796,,582.76
PAY0797,,1.94847
PAY0798,,4324.63
PAY0799,,84168.52697
PAY0800,,787.76994
PAY0801,2382.4894600485595,
PAY0802,4207.153236365262,97983.15292
PAY0803,,70751.04
PAY0804,2210.6908149763076,2979.4915300000002
PAY0805,4850.238320466158,13697.14
PAY0806,,69109.89
PAY0807,,186.79473
PAY0808,,92568.92893
PAY0809,,52340.91828
PAY0810,,102924.92492
PAY0811,,2.92272
PAY0812,,2158.11089
PAY0813,,31185.33
PAY0814,,2807.6099999999997
PAY0815,,48767.10967
PAY0816,,25123.0
PAY0817,1017.866173474445,143769.21
PAY0818,,2071.3368499999997
PAY0819,4368.4178469744165,1738.69985
PAY0820,,57651.44168
PAY0821,1780.409727254142,1600.49232
PAY0822,,42038.12967
PAY0823,3142.437746811107,1670.9693699999998
PAY0824,583.7149495281108,1729.20893
PAY0825,,77554.59
PAY0826,,95679.37016
PAY0827,,3200.5299999999997
PAY0828,1975.311333865175,267.08
PAY0829,1256.701967001578,3409.41
PAY0830,,1669.9
PAY0831,,2536.19
PAY0832,904.8493368421769,194432.98054999998
PAY0833,1393.9867383226397,36380.09417
PAY0834,,71055.96
PAY0835,,3.4307600000000003
PAY0836,3525.952109171984,
PAY0837,,61887.86
PAY0838,2929.7641061998033,255.36604
PAY0839,1090.2135519257208,130621.24723000001
PAY0840,2477.6393572814013,89371.90959
PAY0841,,39116.93
PAY0842,769.7558238143133,77918.21767
PAY0843,,22408.25772
PAY0844,4286.920794240688,147086.0
PAY0845,,1514.6
PAY0846,2068.920245796743,145797.85167
PAY0847,544.7692105868142,2231.15151
PAY0848,,1425.89464
PAY0849,,6417.030000000001
PAY0850,737.9347369657277,84508.68
PAY0851,,90227.34674000001
PAY0852,,78763.39162
PAY0853,,127209.94535
PAY0854,4186.062811527188,16071.3816
PAY0855,3759.055039229812,95465.56983
PAY0856,946.824075239381,42537.31
PAY0857,2125.7038976579393,79347.95
PAY0858,,49534.71
PAY0859,,2382.84479
PAY0860,1908.5464213862203,59998.93
PAY0861,2461.9600952261226,33038.20975
PAY0862,,60216.97821
PAY0863,,47745.51746
PAY0864,4552.586982383565,57828.59897
PAY0865,4248.86335607906,2252.56644
PAY0866,,59690.345270000005
PAY0867,,73983.23514
PAY0868,,40729.16436
PAY0869,,352872.36436999997
PAY0870,,166390.62
PAY0871,643.8650349577509,98776.14377
PAY0872,2838.49991350476,65043.37
PAY0873,,78811.27
PAY0874,,82154.0
PAY0875,2448.0971804675096,1074.44589
PAY0876,3418.804497668101,3.72694
PAY0877,,143110.65771
PAY0878,3443.289344710156,146813.0
PAY0879,4798.406889378525,
PAY0880,,3.07095
PAY0881,,4594.36664
PAY0882,1075.053867544328,93473.2
PAY0883,,100607.3025
PAY0884,,565.37477
PAY0885,,5056.01712
PAY0886,3173.9191670792425,3291.66493
PAY0887,4867.341636471413,2.99506
PAY0888,,96665.89
PAY0889,,114493.19
PAY0890,,55831.6
PAY0891,,803.08
PAY0892,,519.4682799999999
PAY0893,,2235.10067
PAY0894,,37819.17533
PAY0895,1132.5206835730758,183677.37145
PAY0896,4206.698170242464,40911.74
PAY0897,,118252.77
PAY0898,1057.017251086338,1060.15507
PAY0899,2853.9142565786324,118706.22675
PAY0900,,99623.32041
PAY0901,1692.8347538113942,4020.52528
PAY0902,4075.733058675333,2049.15826
PAY0903,,48958.58764
PAY0904,,1884.3
PAY0905,1288.1941494605603,93448.29376
PAY0906,,19504.87444
PAY0907,,1294.82402
PAY0908,4155.126345035564,2870.48992
PAY0909,,1853.84491
PAY0910,,84538.62
PAY0911,,49123.25959
PAY0912,1782.2115004975794,2509.16706
PAY0913,,63766.36089
PAY0914,3135.548308162262,141781.72
PAY0915,,114599.02
PAY0916,,29246.69362
PAY0917,3260.492189329598,3299.68
PAY0918,,1343.4561899999999
PAY0919,,2242.6042
PAY0920,3865.205154736824,2112.933
